id,channelId,title,thumbUrl,description,publishDate,viewCount,comments,likes,dislikes,responseCode
UgxfhWo2cvNmPAiVfh94AaABAg,,Zxn6d7Om21k,UCBJh61a2NA40vvMzZhNmkJQ,@seronoser2675,https://yt3.ggpht.com/ytc/AIdro_n_gfOjWav3sInJRFM_nDKr6clFWon5WgNDhEzWd10=s48-c-k-c0x00ffffff-no-rj,2023-04-25T20:30:13,Increíble como prefieren cruzar un infierno antes q luchar por la libertad de su pais. Su cobardía es mas grande que su amor a su patria,99,false,14,
UgzchSkAibfO8C1VgEF4AaABAg,,Zxn6d7Om21k,UCvHzV-cuej9ulaOReEvfzQQ,@h_fernand,https://yt3.ggpht.com/ytc/AIdro_mqbin83YSQTcbHQkbOe7mIZ0H4iozCdsafO0znqJg=s48-c-k-c0x00ffffff-no-rj,2023-04-25T21:34:41,"<b>Estados Unidos y Canada se han puesto fuertes para no permitirles el ingreso indiscriminado, sin papeles, sin controles, como sucedio con los paises de Sudamerica, ya tienen conocimiento de que clase de gente son ellos, no quieren sufrir lo que han sufrido los paises de la region</b>",51,false,5,
UgyBf3F44FN4CCAi5YJ4AaABAg,,Zxn6d7Om21k,UCS52ixiiIdbWIqyN9X6tD6A,@arturoamaru1687,https://yt3.ggpht.com/ytc/AIdro_mupJj4yAH5xL1gvRqWTZ7QLm_M0SNeohPjp8Yk79k=s48-c-k-c0x00ffffff-no-rj,2023-04-26T10:34:03,"Los venezolanos salieron físicamente de su país, pero no dejaron sus costumbres en Venezuela. Muchos de ellos quieren que los otros países cambien sus costumbres a costumbres venezolanas. Ridículo.  Además , muchos de ellos no tienen costumbre de trabajar, están acostumbrados a vivir del asistencialismo...pero se van a dar cuenta que en USA van a trabajar más. Mínimo 14 horas y a full. O te despiden al toque. Porque no te alcanza tu sueldo de 8 horas.",49,false,8,
UgzO5hZo7mfPw6fFOxx4AaABAg,,Zxn6d7Om21k,UC9srYQul4VVzukxxABlIw6w,@Nepbor,https://yt3.ggpht.com/kedaapZhS8Zz8uhJo36DGNMid3oOtMqHGH0NtrOb5P7DtLFYmmINmtDeucFfMHnA8Ms5qnB0=s48-c-k-c0x00ffffff-no-rj,2023-04-25T19:53:19,"<a href=""https://www.youtube.com/watch?v=Zxn6d7Om21k&amp;t=122"">2:02</a>: un momento, esa discriminación se lo han ganado por haber insultado a los ciudadanos, autoridades, cultura y forma social de vivir de cada país al que han migrado, eso es lo que al parecer ese informe no indagó bien.",49,false,7,
Ugw1z9gkPAhPKV8Mo054AaABAg,,Zxn6d7Om21k,UCe1c0qxz19zh0_FZlqo2HGA,@julybeatriznunezaltamirano8211,https://yt3.ggpht.com/ytc/AIdro_kHz5lIZbqlEuNtHSXQgp9kRO5tRy1PHC-_lw_EKdEXTklS=s48-c-k-c0x00ffffff-no-rj,2023-04-25T21:07:16,Y siguen trayendp hijos al mundo,33,false,0,
UgzNbyG1dFTDbbbwEmR4AaABAg.9owwEgfG2vD9owwqZYvDJl,UgzNbyG1dFTDbbbwEmR4AaABAg,Zxn6d7Om21k,UCXq-jWVEApPqyTZrKowUFxg,@Xoandrex95oX,https://yt3.ggpht.com/ytc/AIdro_lE3Ts05j1LrBPi2UGJxQ5DofK1vx0YrkEzfndgkU0UeA=s48-c-k-c0x00ffffff-no-rj,2023-04-25T18:17:06,ve de vacaciones y no estes dando verguenza o lastima en país ajeno que eso afecta a todos,22,true,,
UgxL82RCCic5gqWBjwZ4AaABAg,,Zxn6d7Om21k,UCy7rpmiA1pBgCTD34Skswtg,@chisathot750,https://yt3.ggpht.com/EKkZnXE5jFXtr8F3BbqP_LUep6EVXjVWEaganyTxX8YL067ZXU6KODKgeURz7mud_dXebNDIbw=s48-c-k-c0x00ffffff-no-rj,2023-04-25T20:55:56,SIIIIIII ESOOOOOOOO VAYANSE BIENNNNNNN,21,false,3,
UgzNbyG1dFTDbbbwEmR4AaABAg.9owwEgfG2vD9owyJ0vkQjK,UgzNbyG1dFTDbbbwEmR4AaABAg,Zxn6d7Om21k,UCnBkT-uK82Reu53moHLeN1A,@DarkVizerD,https://yt3.ggpht.com/ytc/AIdro_km0qXVClJj3QohRCeMO_1DvvpJRyil4eCEH2isUqPwRg=s48-c-k-c0x00ffffff-no-rj,2023-04-25T18:29:52,Y MENOS SI NO SABES HABLAR INGLES.,15,true,,
UgzGX5uak9Xm3555n_Z4AaABAg,,Zxn6d7Om21k,UCHSZaUY_aeQOUYYtpMf-3IQ,@marthaorellana9026,https://yt3.ggpht.com/ytc/AIdro_k18TQOefWzLa5SvdJmEE0dDZLfk4am4CaTqv-UUpCP4ll3lucs6Ttsxlbnh6UOy4Y8dw=s48-c-k-c0x00ffffff-no-rj,2023-04-29T23:45:32,Yo soy peruana y en Peru 🇵🇪 si hay mucho trabajo y si trabajas como los peruanos  con sacrificio perseverancia constancia  y eres guerrero para el BIEN con ganas de superarse honrradamente si tienes EXITO  PERU 🇵🇪,13,false,0,
UgxgdUgHRrKEXmtaH5J4AaABAg,,Zxn6d7Om21k,UCs0lAkGkgxYXlsFJbtpDmfQ,@ric7618,https://yt3.ggpht.com/Wx5ACR_2kYSVBWr-Pi01hIAEyTyDMq72x2yzKoIESTkZMQzmypu5kL0UemVvZzI2GpjEog3Q9bM=s48-c-k-c0x00ffffff-no-rj,2023-04-25T19:21:46,Viajan por dolares y iphones.,12,false,0,
UgzO5hZo7mfPw6fFOxx4AaABAg.9ox6r87aKd_9oykhpujqNR,UgzO5hZo7mfPw6fFOxx4AaABAg,Zxn6d7Om21k,UCCkLX1i2i26gyljea0YoU-g,@lavieja7938,https://yt3.ggpht.com/ytc/AIdro_mOhzV_bzHfhJX6LOKotdDPf7ytArQxXdYPGJiZ_-KrYQ=s48-c-k-c0x00ffffff-no-rj,2023-04-26T11:09:32,"Yo recuerdo todo el proceso migratorio de venezolanos, la primera hola fue maravillosa, realmente hermosa, veía gente realmente culta vendiendo lo que sea en la calle; chicas hermosas realmente bellas y muy educadas, era una maravilla... luego la segunda ola, que me parece que fue el mismo gobierno que limpió las cárceles y hechó su caca en otros países... yo no tengo nada en contra de los venezolanos pero si conoces 3 y 2 robaron un negocio pues ya te vas formando una idea.",12,true,,
UgzO5hZo7mfPw6fFOxx4AaABAg.9ox6r87aKd_9oxz3At98tZ,UgzO5hZo7mfPw6fFOxx4AaABAg,Zxn6d7Om21k,UCzZYZhQe74DKYwlGI592oqw,@XDXd-oc4qn,https://yt3.ggpht.com/ytc/AIdro_nQzxsWtwAZDvVe0EXN98VcR-9VJIp0-dGEvVjXUxXmC5c=s48-c-k-c0x00ffffff-no-rj,2023-04-26T03:55:41,se creen que vienen del futuro y lo unico que an echo es poner la raja.,12,true,,
UgzFnhiKSx7-5QeR1RV4AaABAg,,Zxn6d7Om21k,UCwGMFr8MQeabaoigfAbfUsQ,@nicoladragon666,https://yt3.ggpht.com/ytc/AIdro_kL8GwuTqw_hBUymU9Ssggj9J9yk0hKwSPifSvFpLIngQ=s48-c-k-c0x00ffffff-no-rj,2023-04-28T19:32:58,"Que vayan a El Salvador , ahi si se cumplen la leyes contra la delincuencia.",11,false,0,
Ugyc4B6AZUifJ9Z0WHp4AaABAg,,Zxn6d7Om21k,UCZCdXxEqiCVSSn4-kN4Gseg,@khek242,https://yt3.ggpht.com/ytc/AIdro_nnVAPArmFlZP4g6Hpq8M_RbSdhShhRzWJt5XfdTVQNhLA1=s48-c-k-c0x00ffffff-no-rj,2023-04-26T13:31:42,"Si son 1/4 de migrantes....entonces los otros 3/4 q están en Venezuela de que viven? Si no hay trabajo ni dinero?...raro no?...  Si son tan fuertes y valientes para darse esa caminatas por países y cruzar selvas mortales? Porque no trabajan como nosotros en turnos de 8 10 12 horas y vivir con el sueldo que vivimos en Argentina Chile Colombia Perú Ecuador, si millones entero vivimos así y podemos y tenemos familia y vivimos como tal...porque ellos no pueden?.... Eso de Xenofobia y Marginación es puro pretexto porque esta gente pretende vivir de lo ajeno y de holgazanes con pocas horas de trabajo y mucho tiempo libre y vaguedad y esa realidad no existe en el sur, esa actitud más su idiosincrasia de sentirse y creerse la última tuna del desierto....Señores la pura verdad que entre buenos y malos venezolanos ustedes pretenden continuar con su vida torpe y absurda que les dieron en su nación y no despiertan que ya no existe más y que en otros países se respeta se convive bien con tu trabajo ....no de facilistas ni haciendo daño a los vecinos y menos con actos delincuenciales y asesinatos atroces de sus peores connacionales...Sudamérica no es Venezuela con su mala administración pública sea social o capitalista, xq sus dueños viven como tal, no tenemos gobiernos idóneos....aquí la población entera si TRABAJA No ESCUPE sobre el hermano que ayuda y menos NO ROBA.....ustedes serán tristemente su propio mal destino....sino miren que hacen en EEUU y Canadá....más de lo mismo.",9,false,3,
UgztdDwhqZuV1tPpuFd4AaABAg.9p0CXY4zp_X9p6pL5PMDR9,UgztdDwhqZuV1tPpuFd4AaABAg,Zxn6d7Om21k,UCHSZaUY_aeQOUYYtpMf-3IQ,@marthaorellana9026,https://yt3.ggpht.com/ytc/AIdro_k18TQOefWzLa5SvdJmEE0dDZLfk4am4CaTqv-UUpCP4ll3lucs6Ttsxlbnh6UOy4Y8dw=s48-c-k-c0x00ffffff-no-rj,2023-04-29T23:43:09,no tu no eres peruano y te equivocas y yo si soy peruana  y en Peru hay mucho trabajo y si quieres progresar si te puedes superar y largate si a donde quieras,9,true,,
UgxlFw8i6J5WNlM3tBV4AaABAg,,Zxn6d7Om21k,UCuWlk09TQa9QTcx2s2Jvo5A,@diego17217,https://yt3.ggpht.com/ytc/AIdro_nVdzPO4_qEF43FJIFGwFeurbNq05CHL6GVMGtim9E=s48-c-k-c0x00ffffff-no-rj,2023-05-22T05:33:50,ojala se vayan todos a estados unidos y podamos recuperar nuestros paises.,8,false,0,
UgwU1m28Q1x-09iA0RB4AaABAg,,Zxn6d7Om21k,UCnX5TffypZUe4SxJmZBfNnw,@Aliciaek,https://yt3.ggpht.com/ytc/AIdro_k5DCnBLCUIrYw6g2tsir4OhUDs136Zr2UwIHiSFnY=s48-c-k-c0x00ffffff-no-rj,2023-04-25T19:57:50,"Ya hay casi 400,000 la gran mayoría en Miami...desde antes de la pandemia viven en Miami los de la clase media vene....,  pero ahora con la  nueva inmigración, estos no están contentos.",8,false,0,
