id,channelId,title,thumbUrl,description,publishDate,viewCount,comments,likes,dislikes,responseCode
UgxFHT9uzMkXp7nFlNp4AaABAg,,oMsLffZuMe8,UC-rvXmR6bQsZNTxpukMI4YA,@jrgil5156,https://yt3.ggpht.com/ytc/AIdro_nkHMdD8-iph0EM_9XXOHFTX5yr1_08Pyl5RsRmTC8NcKJnWauEhfigEgk72JRwumN-OA=s48-c-k-c0x00ffffff-no-rj,2022-10-09T21:07:53,No queremos mas carga pública,66,false,11,
UgxmAFKO_jfw5fuYZi54AaABAg,,oMsLffZuMe8,UCIYg2RV-Fit2HqW_caJjSsw,@curiousgeorge1023,https://yt3.ggpht.com/ytc/AIdro_n4L6MAYhaXTvAn-B0-sIzK2dvAkmN1tJ2JJn9CN0DDJw=s48-c-k-c0x00ffffff-no-rj,2022-10-09T22:09:08,Muy bien lo que hace Guatemala ! 👏🏼,63,false,9,
UgyRPOzA33w_GUICABh4AaABAg,,oMsLffZuMe8,UC7gXhyfaz1eDN_4HyHv1LFg,@poloalvarez341,https://yt3.ggpht.com/ytc/AIdro_ktrdstqHi9zvNG4_aL-uaYPf6JvvBh1EBrLDTJpYgjBg=s48-c-k-c0x00ffffff-no-rj,2022-10-09T21:08:37,Bien hecho 👏👏👏👏,51,false,6,
UgzbN3jHf7Hg0l6iJ1l4AaABAg,,oMsLffZuMe8,UC5LdLV9Zp-CFzawdEszFdRA,@ono2356,https://yt3.ggpht.com/ytc/AIdro_mtw9dXj-Y_Wyijj6uKcJvVqQK4G2XnYJcLMHTa2GyZyI6fmOksfSMpEJve-hbGv0GeTg=s48-c-k-c0x00ffffff-no-rj,2022-10-09T20:28:49,Gracias guatemala mexico te lo agradecera,34,false,9,
UgyHlSdRLXeV2dpPV0J4AaABAg,,oMsLffZuMe8,UCW0Dr3M78XfPjgUpGKbZjYQ,@olgalatremenda4260,https://yt3.ggpht.com/ytc/AIdro_nSVDu6RqCcADqYH2S3sePGarA2Qd2iRr3vjv1wERXnLto=s48-c-k-c0x00ffffff-no-rj,2022-10-14T22:03:50,Arriba mano dura con ellos. Guatemala haces muy bien.,33,false,3,
UgzBlakKM9331EG2H_J4AaABAg,,oMsLffZuMe8,UCSAE2esLztnXwOiKuXhGzew,@kevinm1707,https://yt3.ggpht.com/ytc/AIdro_lXfZ0Wf3owRsiKBTH1aCUCuldKLJzpheDesKTKaZ4=s48-c-k-c0x00ffffff-no-rj,2022-10-09T21:29:52,Nadie pasa arriba de la ley migratoria  de ningún país.eso es así en todas las fronteras.,29,false,1,
UgyjDYQd5_me5YELQcB4AaABAg,,oMsLffZuMe8,UC2YtEBdU4inpcouWxvUiPug,@elgatopandita988,https://yt3.ggpht.com/Gy4C1DWm6x4kOOWsLcelDQ4GXvMno7F5t9VwagvzT8DtKd5iEc8n6NRQq295TfTZXwyqVbW3fw=s48-c-k-c0x00ffffff-no-rj,2022-10-09T20:48:06,Nada mas pregunten a nuestros hermanos Colombianos como les ba con los Venezolanos en. Colombia 🇨🇴,29,false,27,
UgzVrabXk01C3SxEL1p4AaABAg,,oMsLffZuMe8,UCyp3Z39AWe0B3H2hjfROPmQ,@juansparza788,https://yt3.ggpht.com/ytc/AIdro_mKil-bFHvd0cCmk2w7v2TKW9BNmALge-uGkb6HKZ4=s48-c-k-c0x00ffffff-no-rj,2022-10-09T20:50:37,Q aprenda  mexico,27,false,0,
Ugw5RHqJ747Eqw23PRt4AaABAg,,oMsLffZuMe8,UC7zZ5yqXUTauqcu19ciD3tw,@cristina2125,https://yt3.ggpht.com/ytc/AIdro_kraA-hGSnmOacq0DYLiM1KwV-XYfXWsQwk4XVijQCBiqQ=s48-c-k-c0x00ffffff-no-rj,2022-10-09T22:49:32,Ojalá lo mismo hicieran todos los países.<br>No apoyen las mafias de tráfico humano,22,false,1,
UgxPrKn-DABi9HYFqt14AaABAg,,oMsLffZuMe8,UCdWFg7lyUXwvfmEVu84OsqA,@MariaLopez-go3rp,https://yt3.ggpht.com/ytc/AIdro_lWJpsMnWYYJv5Tj5P28dE9jUUj-WWn1DFtHSFJHATfJl5c=s48-c-k-c0x00ffffff-no-rj,2022-10-09T20:47:32,"AQUÍ YA NO QUEREMOS A NADIE,,",22,false,5,
Ugw7H4GplcdAhHAVoAB4AaABAg,,oMsLffZuMe8,UC-z049Bm8jLa6hi7nM4S-hQ,@fercho6333,https://yt3.ggpht.com/ytc/AIdro_lNRelXyV_ZLwmngpg3HflmkiTxTHPAyOgffTkjndQOJk3x=s48-c-k-c0x00ffffff-no-rj,2022-10-09T23:48:39,"Pues ni eso los detiene por qué en la capital en zona 1 hay una gran cantidad de venezolanos pidiendo dinero, me asombra bastante que cada vez son más",21,false,3,
Ugyo9e3vd7P1Na6oAwR4AaABAg,,oMsLffZuMe8,UCdWFg7lyUXwvfmEVu84OsqA,@MariaLopez-go3rp,https://yt3.ggpht.com/ytc/AIdro_lWJpsMnWYYJv5Tj5P28dE9jUUj-WWn1DFtHSFJHATfJl5c=s48-c-k-c0x00ffffff-no-rj,2022-10-09T20:48:25,"AQUÍ HAY MUCHA POBREZA, EN ESTADOS UNIDOS,,MILES VIVEN EN LAS CALLES,,",21,false,5,
UgyjDYQd5_me5YELQcB4AaABAg.9gzNjGRirmc9gzPFRiltlU,UgyjDYQd5_me5YELQcB4AaABAg,oMsLffZuMe8,UC2YtEBdU4inpcouWxvUiPug,@elgatopandita988,https://yt3.ggpht.com/Gy4C1DWm6x4kOOWsLcelDQ4GXvMno7F5t9VwagvzT8DtKd5iEc8n6NRQq295TfTZXwyqVbW3fw=s48-c-k-c0x00ffffff-no-rj,2022-10-09T21:01:22,@@Misifusmiau no sabe estados unidos que tipo de personas tan problematicas esta dejando entrar a este pais,20,true,,
